Timestamp,What kind of user are you?,Where do you work?,What country are you in?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many package installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have your own local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs / Accelerators do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],Rank these TBD Spack features by importance [Cross-compilation],Rank these TBD Spack features by importance [More build parallelism],Rank these TBD Spack features by importance [Separate the builtin repo from core],What features NOT in the prior list would you like to see (tell us your wish list)?,Has Spack's transition into Linux Foundation / HPSF given you more confidence in the project?,"Will you be attending the Spack User Meeting at HPSFCon, May 5-8?",Have you attended a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],"What is the most recent thing you did with Spack, anywhere from installing a package to modifying the core functionality?",Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email.",,,,,,
4/9/2025 1:52:35,Research Software Engineer (RSE),University HPC/Computing Center,Argentina,"Fortran, C, C++, Python, Julia, Rust, sh/bash/other shell script, Zig","HPC / Simulation, System Administration, DevOps",Word of mouth,7,"Packages, Slack Discussions, Issues","0.20, develop (1.0.0dev0)","Rocky 8, Rocky 9, Ubuntu 24",10 - 100,"3.6, 3.10, 3.12","spack load, Environment Modules (TCL modules)","Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), Build caches (making binary packages), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:when_possible",No,Yes,No,"AMD, Intel","NVIDIA Ampere, NVIDIA Blackwell","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Very Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Critical,Slightly Important,Not Important,Slightly Important,Critical,,Not sure,No,No,"Documentation, Slack",Weekly,No,Good,Good,Good,Good,Bisect a package error to a concretizer change,"Spack builds the packages we provide to our users. We pick the latest release, backport some package updates and fixes from develop, and build a few environments.",,Packages are frozen when a release is branched from develop.,,,,,,,,,,
4/9/2025 2:00:05,Research Software Engineer (RSE),Other Public Research Lab,France,C++,HPC / Simulation,Word of mouth,5,"Packages, Spack User Meeting Talk","0.23, 1.0.0-alpha* pre-releases","CentOS 7, Ubuntu 20, Ubuntu 22, Ubuntu 24",10 - 100,"3.8, 3.10","spack load, Spack environments","Environments, Stacks (matrices in environments), concretizer:unify:true (concretize together), spack load",Yes -- several,No,No,"AMD, Intel, ARM, RISC-V","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI100, AMD MI200/250X, AMD MI300A, AMD MI300X","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Somewhat important,Not Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Critical,Critical,Very Important,Somewhat important,Slightly Important,Slightly Important,Very Important,Critical,Somewhat important,Critical,,Not sure,"Yes, I'm presenting!",No,"Documentation, Slack, Coworkers, spack help",Monthly,Probably not,Excellent,Good,Good,Excellent,Testing spack v1 that lead to update language dependencies to some packages,I use Spack to deploy my development environment and to deploy production environments on supercomputers (as a regular user of the supercomputer),Spack environments,"* The packages, when installing new environments I usually get errors because packages do not support all what they claim to support.
* The maintainance of recipes is painful as we mostly repeat what has already been described in CMakeLists.txt.
* On supercomputers exposing only modules, which is the common case in the supercomputers I use, I don't know how to use Spack. Installing from scratch consumes a lot of inodes with the risk of not correctly using the hardware. The use of containers is not trivial with GPUs and MPI and produces quite large images.",,,I wonder if there could be some integration with the CPS initiative https://cps-org.github.io/cps/overview.html ? Could it be possible to have seamless integration of external CPS conformant packages ?,,,,,,,
4/9/2025 3:17:01,HPC User / Analyst,Cloud Provider,Switzerland,"Fortran, C++, Python","HPC / Simulation, AI/ML",Word of mouth,7,"Packages, Core Features, Slack Discussions",develop (1.0.0dev0),"RHEL 8, Ubuntu 22","> 1,000","3.10, 3.11",Spack environments,"Environments, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Blackwell, AMD MI300X","gcc, NVHPC, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Somewhat important,Not Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Slightly Important,Not Important,Not Important,Critical,Somewhat important,Somewhat important,Critical,Not Important,,Yes,No,No,"Documentation, Slack, Source Code",Monthly,No,Good,Excellent,Good,Excellent,Build Geos with AMD support for a RFP,,,,,,,,,,,,,
4/9/2025 4:00:02,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United Kingdom,"C, C++, Python","HPC / Simulation, Computer Science","I don't remember, it was so long ago!",8,"Packages, Slack Discussions, GitHub Discussions","0.23, develop (1.0.0dev0)","Ubuntu 22, Ubuntu 24, SLES15","> 1,000","3.9, 3.10, 3.11, 3.12, 3.13",Spack environments,"Environments, Mirrors (spack mirror create / air gap support), Build caches (making binary packages), OCI build caches (pushing packages to container registries), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Git versions",Yes -- several,No,No,"AMD, Intel, ARM",No GPUs,"gcc, Intel OneAPI, LLVM, CCE (Cray Compilers)",Very Important,Not Important,Not Important,Somewhat important,Somewhat important,Very Important,Very Important,Slightly Important,Very Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Critical,,Not sure,No,Yes,"Documentation, Slack, GitHub Issues",Monthly,Probably not,OK,Excellent,Good,Good,"""spack develop"" to debug a package's code within an environment","Create 1 environment per project, make sure they are as isolated as possible, use a spack build cache (github registry) to speed up installs",build caches (my own),"spack throwing various errors due to gcc-runtime and the use of a build cache; timeouts from build cache causing ""push"" to fail or installations to fail; combining spack with another package manager, in particular conda",interop with other package managers like conda (at least document how to do it well),,,,,,,,,
4/9/2025 4:22:05,Scientist/Researcher,University research group,United States,"Python, Rust, Ocaml",Computer Science,Word of mouth,1,"Packages, Core Features, Spack User Meeting Talk","0.23, develop (1.0.0dev0)","CentOS 7, Ubuntu 22, Fedora",200 - 500,"3.11, 3.12, 3.13",Spack environments,"`require:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Splicing",No,No,No,"AMD, Intel",No GPUs,"gcc, LLVM, AMD ROCmCC (amdclang/hipcc)",Very Important,Not Important,Not Important,Very Important,Not Important,Very Important,Not Important,Very Important,Not Important,Somewhat important,Not Important,Very Important,Very Important,Very Important,Critical,Critical,,Yes,"Yes, I'm presenting!",No,"Documentation, Slack, Coworkers, Source Code",Weekly,Probably not,Good,Excellent,Good,Excellent,Built my whole dev environment on a new machine ,,,,,,,,,,,,,
4/9/2025 4:44:26,Research Software Engineer (RSE),Company,United States,"Fortran, C++, Python, sh/bash/other shell script","HPC / Simulation, AI/ML",Word of mouth,1,No,0.21,"Rocky 9, Ubuntu 22, Windows Subsystem for Linux (WSL)",100 - 200,3.11,Spack environments,"Environments, Externals in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==)",No,No,No,"AMD, Intel",NVIDIA Other,"gcc, Intel OneAPI, nvcc (CUDA)",Critical,Not Important,Not Important,Not Important,Slightly Important,Very Important,Critical,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Not Important,,Not sure,No,Yes,"Documentation, Coworkers, GitHub Issues, spack help, ChatGPT / other LLMs",Monthly,Probably not,Good,OK,OK,Good,Installed some additional packages into an existing environment,I want to build software on my laptop and supercomputers; I use a spack env .yaml file as a starting point to get a functioning dev environment on a new system,Being able to build MPI-based software without fussing with the individual build methods for each dependency,"Need it to be a bit easier to pick up external packages, especially MPI installations; it still wants to install a LOT of stuff even if I try to point it directly to an MPI installation","Smoother interaction with external packages; also it seems slow, but maybe there's parallelism I haven't learned about yet?",,,,,,,,,
4/9/2025 4:59:17,Computational Scientist,Other Public Research Lab,United States,"Fortran, Python, sh/bash/other shell script",HPC / Simulation,Word of mouth,4,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues, Tools/integrations, Spack User Meeting Talk, Spack Community Zoom Meetings","0.23, custom fork","macOS 11 (Big Sur), macOS 12 (Monterey), macOS 11 (Ventura), RHEL 8, RHEL9, CentOS 8, Rocky 8, Rocky 9, AlmaLinux 9, Ubuntu 20, Ubuntu 22, Ubuntu 24, SLES12, SLES15, Windows Subsystem for Linux (WSL), Cray EX, Cray XD","> 1,000","3.6, 3.9, 3.10, 3.11, 3.12","Lmod, Environment Modules (TCL modules), spack build-env, spack view, Containers","Environments, Module generation, spack containerize, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), build-env (debug a build), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, spack test, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.), spack diff (compare two specs)",Yes -- just one,My site has a front-end or extension to Spack,spack-stack (https://github.com/JCSDA/spack-stack),"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NextSilicon","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, NAG, aocc",Very Important,Not Important,Not Important,Not Important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Very Important,https://github.com/spack/spack/issues/43569,No,"Yes, I'm presenting!",No,"Documentation, Slack, GitHub Issues, spack help, Source Code, Weekly Telecons",Weekly,Probably not,Good,Excellent,OK,Good,Automated/nightly CI testing,See spack-stack presentation next month at HPSF,We cannot afford maintaining builds for hundreds of packages with multiple compilers and multiple releases of each compiler every year ourselves. spack has really helped us with that and with unifying software stacks across agencies.,"https://github.com/spack/spack/issues/43569

Packages that use the rust ecosystem. First, rust is painfully slow to build. And then some of these packages (py-maturin) reach out to the internet during the spack install call to download hidden dependencies (crates.io/...). This breaks the installation on air-gapped systems. Maybe our community is big enough to take this up with the maturin developers and other offenders to do away with this (ideally with the entire rust stuff).","I don't see good use cases for public build caches. HPC sites are sufficiently different that you want to populate and maintain your own build caches specific to each site, and then provide that build cache to downstream installers, developers etc. Instead of focusing time, energy and money on build caches, I would prefer seeing those resources used for other aspects of the project.",Can contribute those myself if needed,spack is great. It's such a blessing. Thanks so much to all of you!,,,,,,,
4/9/2025 5:40:10,Student,Student,Germany,"C, C++, Python","HPC / Simulation, AI/ML, Computer Science",Used at my site,3,No,develop (1.0.0dev0),"RHEL9, Ubuntu 24, Debian 11",100 - 200,3.12,spack load,"Environments, spack load",No,No,No,"AMD, Intel, ARM, RISC-V","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI300X, Cerebras, Apple Metal","gcc, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Not Important,Critical,Very Important,Very Important,Critical,Critical,Critical,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Critical,Not Important,"make packages more robust, alot of times installation fails for different unpredictable reasons",Not sure,No,No,Documentation,Monthly,No,Good,Excellent,Good,Good,"setup a new vm and install all the required ""basics"" (spack install llvm cuda cmake ninja ...)",i use spack mostly as a package manager for hpc-environments where i dont have root/sudo permissions,the fact it lets me switch out software versions quickly etc,"mostly the syntax for specificing versions,features,compilers etc","syntax for specificing versions,features,compilers etc",,,,,,,,,
4/9/2025 5:41:45,Scientist/Researcher,Other Public Research Lab,Argentina,"C, C++, Rust","HPC / Simulation, Computer Science, System Administration",Word of mouth,2,Packages,"0.23, develop (1.0.0dev0), custom fork","Rocky 8, Debian 12, Arch",10 - 100,3.13,"spack load, Spack environments, Environment Modules (TCL modules)","Environments, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:when_possible, Git versions, spack load",No,Yes,,"AMD, Intel","NVIDIA Ampere, AMD MI200/250X","gcc, Classic Intel Compilers, Intel OneAPI",Very Important,Not Important,Slightly Important,Slightly Important,Very Important,Somewhat important,Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,,Yes,Maybe,Yes,"Documentation, GitHub Issues, GitHub Discussions, Source Code",Monthly,No,OK,OK,Good,OK,Installing a program for a cluster user who needed a custom variant which was not available in the spack package,"Create an environment, add the relevant package externals or requirements, select the desired specs",How well it can manage to compile the most messed up programs and how it manages to harmonize multiple build systems,"I don't have the links since it was long ago, but specs are often outdated and/or broken","Honestly I'm happy with the state of the project :), maybe as a computer scientist I don't suffer a lot with the many pitfalls and the steep learning curve, but I don't think there's a lot to improve on with how fucked up the whole ecosystem spack is based around",,I appreciate your good work,,,,,,,
4/9/2025 6:10:15,DevOps/SRE,Government,Netherlands,Python,"AI/ML, System Administration, DevOps",Presentation,0,Packages,develop (1.0.0dev0),Ubuntu 24,100 - 200,3.13,spack load,"concretization: --fresh (build everything fresh), spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- just one,No,No,"AMD, Intel, ARM",No GPUs,gcc,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,Critical,Critical,Slightly Important,Slightly Important,Somewhat important,"Full air gap / offline support: for npm, go, etc packages not explicitly in Spack (maybe through their native support for proxies).

More automatic monitoring around package index health. Track things like the number of packages, number of new versions per package, age since last update per package, number of dependent packages. None are useful alone, but overall you should be able to see relevant trends.

Spot breaking builds early. For example a periodic full rebuild of everything in CI. For example for every develop-YYYY-MM-DD snapshot, every week or on every release.

More automation around keeping packages up to date. Think Renovate / Dependabot for Spack packages.

A simple way to smoke test a change to a package does not break dependents without using CI. Maybe a command to build all dependents locally using spack cli as a poor mans ci.

oci storage for source code mirrors (store the source code tarballs in a container registry).

A safe guard against upstream sources going offline. Could take many forms, for example spack mirrors all source code packages by default, but even better would be to support https://archive.softwareheritage.org.",Yes,No,No,"Documentation, Slack, GitHub Issues, GitHub Discussions, Source Code",Daily,Probably,Good,Excellent,OK,Good,Update a package and rebuild everything to use the latest and greatest.,"Alternative to GUIX and Nix. I think Spack is better positioned in the long run.

Still quite new, so very basic work flow. Spack install <package>@<version>. Spack load to use, or in some cases use a script to generate aliases / desktop shortcuts. For my IDE for example.",Getting started using more and more software compiled from source. For me compiling from source is a way to make the freedoms of open source software accessible and counteract the concentration of power of large companies. And a way to learn.,Making sure updating a package does not break downstream dependents.,Monitor the health of the package index continuously.,"Packages from the Kubernetes ecosystem to allow a from source cloud native stack: containerd, Harbor, CNI, LGTM (Loki, Grafana, Tempo, Mimir), etc.","Keep up the great work!

Would be interested in a way to become a paid contributor.

Also willing to pay for a subscription service for binary builds and/or other convenience features if that means the development of Spack can be accelerated. Maybe something in the spirit of https://freeasinweekend.org/. But all features should be accessible for ""self hosters"", so not an open core model.",,,,,,,
4/9/2025 6:20:47,Data Scientist,Company,China,"Fortran, C, C++, Python, MATLAB, Lua","HPC / Simulation, Statistics / Data Analysis, High Energy Physics",Search,1,Issues,1.0.0-alpha* pre-releases,"macOS 11 (Ventura), Ubuntu 24",1 - 10,3.9,"spack build-env, Containers",Intall packages,No,No,No,ARM,No GPUs,"gcc, LLVM",Critical,Slightly Important,Very Important,Critical,Critical,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,,Yes,Maybe,No,"Documentation, Slack, GitHub Issues, ChatGPT / other LLMs",Monthly,Probably,OK,Bad,Good,Good,Installation of Geant4,,,,,,,,,,,,,
4/9/2025 7:05:12,Scientist/Researcher,Company,United Kingdom,"Fortran, C, C++, Python, sh/bash/other shell script","HPC / Simulation, User Support, System Administration",Word of mouth,5,"Slack Discussions, Issues",0.23,"RHEL 7, RHEL 8, CentOS 7, Rocky 8, Rocky 9, Ubuntu 22, Ubuntu 24, openSuSE, Windows Subsystem for Linux (WSL)",1 - 10,"3.8, 3.9, 3.10, 3.11, 3.12","spack load, Spack environments, Environment Modules (TCL modules), spack build-env","Environments, Module generation, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), build-env (debug a build), Externals in packages.yaml, `require:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), spack load",Yes -- just one,Yes,No,Intel,No GPUs,"gcc, Classic Intel Compilers, Intel OneAPI, NVHPC",Very Important,Not Important,Not Important,Not Important,Somewhat important,Very Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Not Important,,Not sure,No,No,"Documentation, Slack, GitHub Issues, GitHub Discussions, spack help, Source Code, ChatGPT / other LLMs",Weekly,Probably not,Excellent,Good,OK,OK,Install our software on a cystomer's system,Building and installing our software for customers,,,,,,,,,,,,
4/9/2025 7:06:03,Manager,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"Fortran, C++, Python, sh/bash/other shell script","HPC / Simulation, AI/ML, Computer Science, High Energy Physics, User Support",Used at my site,5,Packages,"0.21, 0.22","toss4, toss4_cray, blueos",10 - 100,3.9,"Spack environments, spack view",,,No,,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, NVIDIA Other, AMD MI200/250X, AMD MI300A, AMD MI300X, No GPUs, SambaNova, Cerebras","gcc, Classic Intel Compilers, LLVM, AMD ROCmCC (amdclang/hipcc)",Somewhat important,Not Important,Critical,Critical,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Not Important,Not Important,Very Important,Slightly Important,,Not sure,No,Yes,"Slack, Coworkers, Email",Yearly,Probably not,OK,Good,Good,Excellent,we build a python env for our users,we build a python env for our users,consistent env across. clusters for our users,"slow build, stability (but seems much better than it used to be).",build farms and caches,tensorflow is given us headaches,,,,,,,,
4/9/2025 7:10:11,Research Software Engineer (RSE),NASA Contractor,United States,"Fortran, C++, Python","HPC / Simulation, User Support, System Administration",Word of mouth,0,No,"0.22, 1.0.0-alpha* pre-releases",Rocky 8,1 - 10,3.6,Lmod,"Environments, Module generation",Yes -- just one,Yes,Our own custom set of scripts,"AMD, Intel",No GPUs,"gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM",Very Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Not Important,Not Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Very Important,Somewhat important,"Something to better explain why certain versions get chosen by the concretizer. I.e. this `require` got picked up from there, this `preference` got picked up from there, etc.",No,No,No,"Documentation, Slack, Coworkers, spack help",Weekly,Probably,Good,Good,Bad,OK,I'm currently trying to simplify the process by which we use spack to install a large set of packages for use by users with lmod.,We install a large number of packages in our cluster made available to users via lmod. We use a set of scripts to build environments were they refer to packages installed in the previous environment as externals to prevent rebuilding.,Just started working with it,Not understanding why the concretizer makes certain decisions,"Make the concretizers decision making process more transparent, or at least more deterministic.",No,No,,,,,,,
4/9/2025 7:49:40,User Support Staff,University HPC/Computing Center,United States,"Python, sh/bash/other shell script",User Support,Used at my site,2,No,0.23,"CentOS 8, Centos Stream, Ubuntu 20, Ubuntu 22, Ubuntu 24",200 - 500,3.11,"Spack environments, Lmod, Environment Modules (TCL modules), spack view, Containers","Environments, Module generation, spack containerize, Chaining (upstreams), spack external find, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh)",No,No,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper","gcc, Classic Intel Compilers, Intel OneAPI, nvcc (CUDA)",Very Important,Not Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Better garbage cleaning and/or tools for identifying package installations that have been orphaned from no-longer-existing environments.,Yes,No,Yes,"Documentation, GitHub Issues, GitHub Discussions",Weekly,Probably not,Good,Good,OK,Good,I used Spack for building a container with the MPI dependencies necessary for running multi-node container jobs on our HPC system.,"In my user-support role, I help users deploy software on our HPC system. I typically iterate multiple times through environment creation, adding specs, and installing them when trying to set up a particular software. ",Using Spack to install MPI with proper dependencies for our HPC cluster.,"1) The spack containerize method is difficult to work with; it seems geared towards devops/CI. Would like improved UX for less-technical users who use Spack as a package manager.
2) Low-level compiler errors when installing a package can be difficult to correct. Solutions online say ""add this compiler flag to fix"" but there doesn't seem to be a way to make that happen.","Include compilers in the full package dependency tree. That is, if a spec specifies a particular compiler to use and said compiler is not already installed, it will be included as a dependency in the output of ""spack spec -lI"" command. The idea is to have all packages, including the compiler, installed in a single ""install"" command.",,"Spack has been incredibly useful to our center and to my personal research. The ability to easily compile programs with high-level declarations without the need to enumerate all the dependencies is a huge time-saver, especially for myself and the users I support, as we do not have much expertise in compiling software stacks. 
The fact that Spack is FOSS is wonderful, and I hope that it can continue to be so.",,,,,,,
